# KurdNet (Kurdish WordNet)	ckb	https://github.com/sinaahmadi/kurdnet	CC BY SA 4.0
00090253-n	ckb:def	0	کارورەوتی بە دەست گەیشتنی شتێک.
00092293-v	ckb:def	0	بەرەوە خراپە چوون.
00092690-v	ckb:def	0	دەرباز بوون لە ناخۆشی یان پەرۆشی.
00093483-n	ckb:def	0	چاککردنەو یان پێشگری لە زیان یان مەترسی.
00097504-n	ckb:def	0	کارورەوتی بەئانجام گەیشتن؛ بەچاکی قەداندنی پرۆسەیەک؛ کەڵک وەرگرتن لە زانست بە چەشنێکی جیاواز لە هەبوونی لە سەر کاغەزاندا.
00098385-n	ckb:def	0	لایەنە پسپۆڕییەکانی ئەنجام دانی کارێک
00099721-v	ckb:def	0	ئەنجام دانی **
00099721-v	ckb:lemma	وەرزش کردن
00099721-v	ckb:lemma	ڕاهێنان
00103317-v	ckb:def	0	لە شەرمان یان لە تەرێقی سوور هەڵاتن  
00103619-v	ckb:def	0	لە ترسان زەرد هەڵاتن
00103619-v	ckb:lemma	زەرد هەڵگەڕاو
00103619-v	ckb:lemma	ڕەنگ زەرد
00103834-n	ckb:def	0	کارورەوتی بەکارهێنانی زۆر بۆ بەرەوە پێش خستنی کارێک
00104409-n	ckb:def	0	کارورەوتی خلێر کردنەوەی شتێک(وەک گوێز لە گوێزاندا)
00104409-n	ckb:lemma	تۆپ
00104409-n	ckb:lemma	جاڵەبوون
00104409-n	ckb:lemma	خل بوونەوە
00104409-n	ckb:lemma	خل کردنەوە
00104409-n	ckb:lemma	خلۆربوونەوە
00104409-n	ckb:lemma	خلیان
00104409-n	ckb:lemma	خلیانەوە
00104409-n	ckb:lemma	لیست
00104409-n	ckb:lemma	پێڕست
00104409-n	ckb:lemma	گلان
00104409-n	ckb:lemma	گلیان
00104868-v	ckb:def	0	سڕانەوە(ی ماکێک) لە جەستەوە
00106960-v	ckb:def	0	بە ئامرازێک بە سەر شتێکدا تێپەڕین بە سەر شتێکدا بە چەشنێک کە ببێتە هۆی بریندارکردن یان کوشتن
00109660-v	ckb:def	0	تووشی گۆرانکاری بوون؛لە دەروونەوە گۆران؛ لەسەر دانی سروشت یان پێناسە ڕەسەنەکانی کەسێک
00109660-v	ckb:lemma	گۆڕان
00109660-v	ckb:lemma	گۆڕین
00112312-n	ckb:def	0	کارورەوتی بەکارهێنانی زۆر بۆ گواستنەوەی شتێک
00112312-n	ckb:lemma	خستنەسەر
00112312-n	ckb:lemma	داگرتن
00112312-n	ckb:lemma	دەستنان
00112312-n	ckb:lemma	زەخت
00112312-n	ckb:lemma	پاڵ پێوەنان
00112312-n	ckb:lemma	گوشار
00114431-n	ckb:def	0	کارورەوتی کێشان؛ بەکار هێنانی زۆر بۆ جێبەجێ کردنی شتێک بۆ لای کەسێک
00114431-n	ckb:lemma	بریندار بوون
00114431-n	ckb:lemma	زەرپ پێگەێشتن به ماسولکە
00114431-n	ckb:lemma	هەڵپەلیانی دەمار
00114431-n	ckb:lemma	ڕاکێشان
00114431-n	ckb:lemma	کێشان
00115157-v	ckb:def	0	گۆڕان لە سیستەمێکەوە بۆ سیستەم یان پیلان و بۆچوونێکی دیکە
00115157-v	ckb:lemma	گۆرین
00115157-v	ckb:lemma	گۆڕان
00116376-n	ckb:def	0	کارورەوتی هەڵهێنانی شتێک
00116376-n	ckb:lemma	بەرزکردنەوە
00116376-n	ckb:lemma	هەڵهێنان
00117985-v	ckb:def	0	وەکوو خۆ مانەوە؛ لە دۆخی دیاری کراودا مانەوە
00119568-n	ckb:def	0	کارورەوتی هەڵبەزین؛ تێکۆشان بۆ خۆ بڕین لە عەرز
00119568-n	ckb:lemma	هەڵبەزین
00119568-n	ckb:lemma	پاز دەدات
00120316-v	ckb:def	0	تایبەتمەندیگەلی دیاریکراو بە شتێک بەخشین
00122661-n	ckb:def	0	کارورەوتی ئاوردان و ئەنگاوتنی گوللە
00123170-v	ckb:def	0	لە هەندێک لایەنی تایبەتییەوە جیاواز بوون یان جیاواز کردنی کەسێک، بەبێ ئەوەی پێناسە یان سروشتەکەی تووشی گۆرانکاریی هەتاهەتایی بێ
00125629-n	ckb:def	0	کارورەوتی وێکخستنی دوو شت
00125629-n	ckb:lemma	زەبر
00125629-n	ckb:lemma	سەرکەوتن
00125629-n	ckb:lemma	سەرکەوتوو
00125629-n	ckb:lemma	فیلم یا ئاهەنگی زۆر سەرکەوتوو
00125629-n	ckb:lemma	لێدان
00125629-n	ckb:lemma	پێکان
00126264-v	ckb:def	0	بوونە هۆی گۆڕان؛ جیاواز کردن؛ گۆڕانکاری بە سەر شتێکدا هێنان
00127286-n	ckb:def	0	(بەیسباڵ) 
00127948-a	ckb:def	0	ئەو شتەی کتومت بە دوای شتێکی دیکەدا دێ
00127948-a	ckb:lemma	دوایی
00136329-n	ckb:def	0	کارورەوتی بە پێ هەڵاویشتنی تۆپ
00136329-n	ckb:lemma	تێهەڵدان
00136329-n	ckb:lemma	شەق
00137313-v	ckb:def	0	کارگێڕییەک لە سەر شتێک دانان
00138221-n	ckb:def	0	کارورەوتی **لە ڕێگای لێکسوانی لێوەکان
00138221-n	ckb:lemma	ماچ
00138221-n	ckb:lemma	ماچ کردن
00138508-v	ckb:def	0	بۆ پێچەوانەی شتێک خۆگۆڕان
00138956-n	ckb:def	0	کارورەوتی گرتنەوەی شتێک بە دەست
00140123-v	ckb:def	0	گۆڕانکاری لە ڕواڵەتی فیزیکیدا
00140967-v	ckb:def	0	بیچم یان شێوەیەکی دیکە بە خۆ گرتن
00141806-n	ckb:def	0	کارورەوتی پێداگەڕان و لێکدانەوە
00141806-n	ckb:lemma	پشکنین
